@relation dataset

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute class {positive,negative}

@data
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,positive
