@relation BioHBioHBioHBioHBioHBioH-User-2-Horizontalvali/BioHBioHBioHBioHBioHBioH-User-2-Horizontalvali_3.arff
@attribute att_0_0 real
@attribute att_0_1 real
@attribute att_1_0 real
@attribute att_1_1 real
@attribute att_2_0 real
@attribute att_2_1 real
@attribute att_3_0 real
@attribute att_3_1 real
@attribute att_4_0 real
@attribute att_4_1 real
@attribute att_5_0 real
@attribute att_5_1 real
@attribute class { 0,1 }
@data
0.303,0.697,0.303,0.697,0.000,1.000,0.000,1.000,0.264,0.736,0.264,0.736,0
0.303,0.697,0.303,0.697,0.000,1.000,0.000,1.000,0.264,0.736,0.264,0.736,0
0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.073,0.927,0.073,0.927,0
0.303,0.697,0.303,0.697,0.000,1.000,0.000,1.000,0.264,0.736,0.264,0.736,0
0.316,0.684,0.316,0.684,0.000,1.000,0.000,1.000,0.217,0.783,0.217,0.783,0
0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.002,0.998,0.002,0.998,0
0.462,0.538,0.462,0.538,0.000,1.000,0.000,1.000,0.445,0.555,0.445,0.555,0
0.300,0.700,0.300,0.700,0.000,1.000,0.000,1.000,0.196,0.804,0.196,0.804,0
0.303,0.697,0.303,0.697,0.000,1.000,0.000,1.000,0.264,0.736,0.264,0.736,0
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.194,0.806,0.194,0.806,0
0.087,0.913,0.087,0.913,0.000,1.000,0.000,1.000,0.183,0.817,0.183,0.817,0
0.462,0.538,0.462,0.538,0.000,1.000,0.000,1.000,0.445,0.555,0.445,0.555,0
0.303,0.697,0.303,0.697,0.000,1.000,0.000,1.000,0.264,0.736,0.264,0.736,0
0.002,0.998,0.002,0.998,0.000,1.000,0.000,1.000,0.154,0.846,0.154,0.846,1
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.194,0.806,0.194,0.806,1
0.313,0.687,0.313,0.687,0.000,1.000,0.000,1.000,0.136,0.864,0.136,0.864,1
0.316,0.684,0.316,0.684,0.000,1.000,0.000,1.000,0.217,0.783,0.217,0.783,1
0.139,0.861,0.139,0.861,0.000,1.000,0.000,1.000,0.179,0.821,0.179,0.821,1
0.139,0.861,0.139,0.861,0.000,1.000,0.000,1.000,0.179,0.821,0.179,0.821,1
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.194,0.806,0.194,0.806,1
0.462,0.538,0.462,0.538,0.000,1.000,0.000,1.000,0.445,0.555,0.445,0.555,1
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.426,0.574,0.426,0.574,1
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.194,0.806,0.194,0.806,1
0.462,0.538,0.462,0.538,0.000,1.000,0.000,1.000,0.445,0.555,0.445,0.555,1
0.139,0.861,0.139,0.861,0.000,1.000,0.000,1.000,0.179,0.821,0.179,0.821,1
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.194,0.806,0.194,0.806,1
0.303,0.697,0.303,0.697,0.000,1.000,0.000,1.000,0.264,0.736,0.264,0.736,1
0.300,0.700,0.300,0.700,0.000,1.000,0.000,1.000,0.196,0.804,0.196,0.804,1
0.303,0.697,0.303,0.697,0.000,1.000,0.000,1.000,0.264,0.736,0.264,0.736,1
0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.003,0.997,0.003,0.997,1
0.087,0.913,0.087,0.913,0.000,1.000,0.000,1.000,0.183,0.817,0.183,0.817,1
0.001,0.999,0.001,0.999,0.000,1.000,0.000,1.000,0.302,0.698,0.302,0.698,1
0.139,0.861,0.139,0.861,0.000,1.000,0.000,1.000,0.179,0.821,0.179,0.821,1
0.139,0.861,0.139,0.861,0.000,1.000,0.000,1.000,0.179,0.821,0.179,0.821,1
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.194,0.806,0.194,0.806,1
0.143,0.857,0.143,0.857,0.000,1.000,0.000,1.000,0.138,0.862,0.138,0.862,1
0.139,0.861,0.139,0.861,0.000,1.000,0.000,1.000,0.179,0.821,0.179,0.821,1
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.194,0.806,0.194,0.806,1
0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.003,0.997,0.003,0.997,1
0.087,0.913,0.087,0.913,0.000,1.000,0.000,1.000,0.183,0.817,0.183,0.817,1
0.316,0.684,0.316,0.684,0.000,1.000,0.000,1.000,0.217,0.783,0.217,0.783,1
0.139,0.861,0.139,0.861,0.000,1.000,0.000,1.000,0.179,0.821,0.179,0.821,1
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.194,0.806,0.194,0.806,1
0.303,0.697,0.303,0.697,0.000,1.000,0.000,1.000,0.264,0.736,0.264,0.736,1
0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.073,0.927,0.073,0.927,1
0.316,0.684,0.316,0.684,0.000,1.000,0.000,1.000,0.217,0.783,0.217,0.783,1
0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.175,0.825,0.175,0.825,1
0.300,0.700,0.300,0.700,0.000,1.000,0.000,1.000,0.196,0.804,0.196,0.804,1
0.300,0.700,0.300,0.700,0.000,1.000,0.000,1.000,0.196,0.804,0.196,0.804,1
0.244,0.756,0.244,0.756,0.000,1.000,0.000,1.000,0.194,0.806,0.194,0.806,1
0.087,0.913,0.087,0.913,0.000,1.000,0.000,1.000,0.183,0.817,0.183,0.817,1
0.303,0.697,0.303,0.697,0.000,1.000,0.000,1.000,0.264,0.736,0.264,0.736,1
0.300,0.700,0.300,0.700,0.000,1.000,0.000,1.000,0.196,0.804,0.196,0.804,1
0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.003,0.997,0.003,0.997,1
0.316,0.684,0.316,0.684,0.000,1.000,0.000,1.000,0.217,0.783,0.217,0.783,1
0.111,0.889,0.111,0.889,0.000,1.000,0.000,1.000,0.333,0.667,0.333,0.667,1
0.313,0.687,0.313,0.687,0.000,1.000,0.000,1.000,0.136,0.864,0.136,0.864,1
0.205,0.795,0.205,0.795,0.000,1.000,0.000,1.000,0.190,0.810,0.190,0.810,0
