@relation BioHBioHBioHBioHBioHBioH-User-25-Scrollingvali/BioHBioHBioHBioHBioHBioH-User-25-Scrollingvali_0.arff
@attribute att_0_0 real
@attribute att_0_1 real
@attribute att_1_0 real
@attribute att_1_1 real
@attribute att_2_0 real
@attribute att_2_1 real
@attribute att_3_0 real
@attribute att_3_1 real
@attribute att_4_0 real
@attribute att_4_1 real
@attribute att_5_0 real
@attribute att_5_1 real
@attribute class { 0,1 }
@data
0.999,0.001,0.999,0.001,1.000,0.000,1.000,0.000,0.881,0.119,0.881,0.119,0
0.893,0.107,0.893,0.107,1.000,0.000,1.000,0.000,0.649,0.351,0.649,0.351,0
0.999,0.001,0.999,0.001,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.593,0.407,0.593,0.407,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.593,0.407,0.593,0.407,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.999,0.001,0.999,0.001,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.593,0.407,0.593,0.407,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
0.916,0.084,0.916,0.084,1.000,0.000,1.000,0.000,0.503,0.497,0.503,0.497,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
0.916,0.084,0.916,0.084,1.000,0.000,1.000,0.000,0.503,0.497,0.503,0.497,0
0.334,0.666,0.334,0.666,1.000,0.000,1.000,0.000,0.995,0.005,0.995,0.005,0
1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.593,0.407,0.593,0.407,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.983,0.017,0.983,0.017,0
0.964,0.036,0.964,0.036,1.000,0.000,1.000,0.000,0.835,0.165,0.835,0.165,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.593,0.407,0.593,0.407,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.999,0.001,0.999,0.001,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.593,0.407,0.593,0.407,0
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,0
0.893,0.107,0.893,0.107,1.000,0.000,1.000,0.000,0.649,0.351,0.649,0.351,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.472,0.528,0.472,0.528,1.000,0.000,1.000,0.000,0.347,0.653,0.347,0.653,1
0.470,0.530,0.470,0.530,1.000,0.000,1.000,0.000,0.296,0.704,0.296,0.704,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.975,0.025,0.975,0.025,0
0.470,0.530,0.470,0.530,1.000,0.000,1.000,0.000,0.296,0.704,0.296,0.704,0
0.470,0.530,0.470,0.530,1.000,0.000,1.000,0.000,0.296,0.704,0.296,0.704,0
1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.772,0.228,0.772,0.228,0
0.470,0.530,0.470,0.530,1.000,0.000,1.000,0.000,0.296,0.704,0.296,0.704,0
0.470,0.530,0.470,0.530,1.000,0.000,1.000,0.000,0.296,0.704,0.296,0.704,0
0.852,0.148,0.852,0.148,1.000,0.000,1.000,0.000,0.629,0.371,0.629,0.371,0
0.999,0.001,0.999,0.001,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.470,0.530,0.470,0.530,1.000,0.000,1.000,0.000,0.296,0.704,0.296,0.704,0
