@relation OrigOrigOrigOrigOrigOrig-User-29-Scrollingvali/OrigOrigOrigOrigOrigOrig-User-29-Scrollingvali_7.arff
@attribute att_0_0 real
@attribute att_0_1 real
@attribute att_1_0 real
@attribute att_1_1 real
@attribute att_2_0 real
@attribute att_2_1 real
@attribute att_3_0 real
@attribute att_3_1 real
@attribute att_4_0 real
@attribute att_4_1 real
@attribute att_5_0 real
@attribute att_5_1 real
@attribute class { 0,1 }
@data
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.037,0.963,0.037,0.963,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.897,0.103,0.897,0.103,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.953,0.047,0.953,0.047,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.170,0.830,0.170,0.830,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.712,0.288,0.712,0.288,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.944,0.056,0.944,0.056,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.793,0.207,0.793,0.207,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.039,0.961,0.039,0.961,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.027,0.973,0.027,0.973,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.987,0.013,0.987,0.013,0
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.930,0.070,0.930,0.070,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.684,0.316,0.684,0.316,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.250,0.750,0.250,0.750,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.843,0.157,0.843,0.157,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.954,0.046,0.954,0.046,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.378,0.622,0.378,0.622,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.495,0.505,0.495,0.505,0
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.833,0.167,0.833,0.167,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.589,0.411,0.589,0.411,0
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.003,0.997,0.003,0.997,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.085,0.915,0.085,0.915,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.071,0.929,0.071,0.929,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.007,0.993,0.007,0.993,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.999,0.001,0.999,0.001,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.035,0.965,0.035,0.965,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.997,0.003,0.997,0.003,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.018,0.982,0.018,0.982,1
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.987,0.013,0.987,0.013,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.895,0.105,0.895,0.105,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.106,0.894,0.106,0.894,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.999,0.001,0.999,0.001,0
0.997,0.003,0.997,0.003,0.000,1.000,0.000,1.000,0.986,0.014,0.986,0.014,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.999,0.001,0.999,0.001,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.999,0.001,0.999,0.001,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.979,0.021,0.979,0.021,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.997,0.003,0.997,0.003,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.999,0.001,0.999,0.001,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.995,0.005,0.995,0.005,0
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.997,0.003,0.997,0.003,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.919,0.081,0.919,0.081,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.998,0.002,0.998,0.002,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.881,0.119,0.881,0.119,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.970,0.030,0.970,0.030,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.937,0.063,0.937,0.063,0
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.928,0.072,0.928,0.072,1
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.207,0.793,0.207,0.793,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.945,0.055,0.945,0.055,1
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.023,0.977,0.023,0.977,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.441,0.559,0.441,0.559,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.002,0.998,0.002,0.998,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.044,0.956,0.044,0.956,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.909,0.091,0.909,0.091,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.582,0.418,0.582,0.418,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.825,0.175,0.825,0.175,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.951,0.049,0.951,0.049,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.001,0.999,0.001,0.999,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.998,0.002,0.998,0.002,0
0.997,0.003,0.997,0.003,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.923,0.077,0.923,0.077,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.978,0.022,0.978,0.022,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.895,0.105,0.895,0.105,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.456,0.544,0.456,0.544,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.484,0.516,0.484,0.516,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.174,0.826,0.174,0.826,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0
0.997,0.003,0.997,0.003,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.968,0.032,0.968,0.032,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.966,0.034,0.966,0.034,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,0.000,1.000,0.000,1.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.284,0.716,0.284,0.716,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.998,0.002,0.998,0.002,0
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.418,0.582,0.418,0.582,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.714,0.286,0.714,0.286,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.712,0.288,0.712,0.288,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.997,0.003,0.997,0.003,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.130,0.870,0.130,0.870,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,1
0.003,0.997,0.003,0.997,1.000,0.000,1.000,0.000,0.022,0.978,0.022,0.978,1
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.999,0.001,0.999,0.001,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,0.991,0.009,0.991,0.009,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0
0.997,0.003,0.997,0.003,0.000,1.000,0.000,1.000,0.973,0.027,0.973,0.027,0
