@relation big

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
151,0,256,0,1,1,0.371007,1,0.628993,0.541219,1,1,0.000012
151,0,255,1,0.996094,1,0.371921,1,0.628079,0.54219,0.997543,1.002463,0.000012
151,0,253,3,0.988281,1,0.373762,1,0.626238,0.544144,0.992629,1.007426,0.000012
151,0,251,5,0.980469,1,0.375622,1,0.624378,0.546112,0.987715,1.012438,0.000012
151,0,228,28,0.890625,1,0.398417,1,0.601583,0.569811,0.931204,1.073879,0.000012
151,0,205,51,0.800781,1,0.424157,1,0.575843,0.595661,0.874693,1.143258,0.000012
151,0,181,75,0.707031,1,0.454819,1,0.545181,0.625259,0.815725,1.225904,0.000012
151,0,156,100,0.609375,1,0.491857,1,0.508143,0.659389,0.7543,1.325733,0.000012
151,0,106,150,0.414063,1,0.587549,1,0.412451,0.740196,0.63145,1.583658,0.000012
151,0,2,254,0.007813,1,0.986928,1,0.013072,0.993421,0.375921,2.660131,0.050643
150,1,2,254,0.007813,0.993377,0.986842,0.993377,0.013158,0.990099,0.373464,2.659899,0.222391
149,2,2,254,0.007813,0.986755,0.986755,0.986755,0.013245,0.986755,0.371007,2.659664,0.250171
148,3,2,254,0.007813,0.980132,0.986667,0.980132,0.013333,0.983389,0.36855,2.659426,0.285881
147,4,2,254,0.007813,0.97351,0.986577,0.97351,0.013423,0.98,0.366093,2.659185,0.799673
147,4,1,255,0.003906,0.97351,0.993243,0.97351,0.006757,0.983278,0.363636,2.677152,0.999697
143,8,1,255,0.003906,0.94702,0.993056,0.94702,0.006944,0.969492,0.353808,2.676646,0.999727
140,11,1,255,0.003906,0.927152,0.992908,0.927152,0.007092,0.958904,0.346437,2.676248,0.999752
138,13,1,255,0.003906,0.913907,0.992806,0.913907,0.007194,0.951724,0.341523,2.675973,0.999772
136,15,1,255,0.003906,0.900662,0.992701,0.900662,0.007299,0.944444,0.336609,2.67569,0.999773
134,17,1,255,0.003906,0.887417,0.992593,0.887417,0.007407,0.937063,0.331695,2.675399,0.999977
118,33,1,255,0.003906,0.781457,0.991597,0.781457,0.008403,0.874074,0.292383,2.672714,0.999977
103,48,1,255,0.003906,0.682119,0.990385,0.682119,0.009615,0.807843,0.255528,2.669447,0.999977
88,63,1,255,0.003906,0.582781,0.988764,0.582781,0.011236,0.733333,0.218673,2.665079,0.999977
74,77,1,255,0.003906,0.490066,0.986667,0.490066,0.013333,0.654867,0.184275,2.659426,0.999977
35,116,0,256,0,0.231788,1,0.231788,0,0.376344,0.085995,2.695364,0.999977
22,129,0,256,0,0.145695,1,0.145695,0,0.254335,0.054054,2.695364,0.999978
10,141,0,256,0,0.066225,1,0.066225,0,0.124224,0.02457,2.695364,0.999978
0,151,0,256,0,0,0,0,0,0,0,?,0.999988
