@relation medium

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
151,0,256,0,1,1,0.371007,1,0.628993,0.541219,1,1,0.000033
151,0,255,1,0.996094,1,0.371921,1,0.628079,0.54219,0.997543,1.002463,0.000034
151,0,254,2,0.992188,1,0.37284,1,0.62716,0.543165,0.995086,1.004938,0.000035
151,0,252,4,0.984375,1,0.37469,1,0.62531,0.545126,0.990172,1.009926,0.000036
151,0,251,5,0.980469,1,0.375622,1,0.624378,0.546112,0.987715,1.012438,0.000041
151,0,248,8,0.96875,1,0.378446,1,0.621554,0.549091,0.980344,1.02005,0.000041
151,0,244,12,0.953125,1,0.382278,1,0.617722,0.553114,0.970516,1.03038,0.000042
151,0,239,17,0.933594,1,0.387179,1,0.612821,0.558226,0.958231,1.04359,0.000042
151,0,238,18,0.929688,1,0.388175,1,0.611825,0.559259,0.955774,1.046272,0.000043
151,0,226,30,0.882813,1,0.400531,1,0.599469,0.57197,0.92629,1.079576,0.000043
151,0,219,37,0.855469,1,0.408108,1,0.591892,0.579655,0.909091,1.1,0.000044
151,0,211,45,0.824219,1,0.417127,1,0.582873,0.588694,0.889435,1.124309,0.000045
151,0,202,54,0.789063,1,0.427762,1,0.572238,0.599206,0.867322,1.152975,0.000046
151,0,192,64,0.75,1,0.440233,1,0.559767,0.611336,0.842752,1.186589,0.000047
151,0,180,76,0.703125,1,0.456193,1,0.543807,0.626556,0.813268,1.229607,0.000052
151,0,177,79,0.691406,1,0.460366,1,0.539634,0.63048,0.805897,1.240854,0.000052
151,0,173,83,0.675781,1,0.466049,1,0.533951,0.635789,0.796069,1.256173,0.000053
151,0,165,91,0.644531,1,0.477848,1,0.522152,0.646681,0.776413,1.287975,0.000054
151,0,160,96,0.625,1,0.485531,1,0.514469,0.65368,0.764128,1.308682,0.000055
151,0,148,108,0.578125,1,0.505017,1,0.494983,0.671111,0.734644,1.361204,0.000057
151,0,132,124,0.515625,1,0.533569,1,0.466431,0.695853,0.695332,1.438163,0.000057
151,0,124,132,0.484375,1,0.549091,1,0.450909,0.70892,0.675676,1.48,0.000059
151,0,122,134,0.476563,1,0.553114,1,0.446886,0.712264,0.670762,1.490842,0.000059
151,0,120,136,0.46875,1,0.557196,1,0.442804,0.71564,0.665848,1.501845,0.000061
151,0,114,142,0.445313,1,0.569811,1,0.430189,0.725962,0.651106,1.535849,0.000062
151,0,110,146,0.429688,1,0.578544,1,0.421456,0.73301,0.641278,1.559387,0.000063
151,0,105,151,0.410156,1,0.589844,1,0.410156,0.742015,0.628993,1.589844,0.000065
151,0,93,163,0.363281,1,0.618852,1,0.381148,0.764557,0.599509,1.668033,0.000068
151,0,85,171,0.332031,1,0.639831,1,0.360169,0.780362,0.579853,1.724576,0.00007
151,0,76,180,0.296875,1,0.665198,1,0.334802,0.798942,0.55774,1.792952,0.000091
151,0,75,181,0.292969,1,0.668142,1,0.331858,0.801061,0.555283,1.800885,0.000094
151,0,70,186,0.273438,1,0.683258,1,0.316742,0.811828,0.542998,1.841629,0.000097
151,0,67,189,0.261719,1,0.692661,1,0.307339,0.818428,0.535627,1.866972,0.000098
151,0,61,195,0.238281,1,0.712264,1,0.287736,0.831956,0.520885,1.919811,0.000101
151,0,57,199,0.222656,1,0.725962,1,0.274038,0.841226,0.511057,1.956731,0.000101
151,0,49,207,0.191406,1,0.755,1,0.245,0.860399,0.4914,2.035,0.000105
151,0,44,212,0.171875,1,0.774359,1,0.225641,0.872832,0.479115,2.087179,0.000114
151,0,43,213,0.167969,1,0.778351,1,0.221649,0.875362,0.476658,2.097938,0.00017
151,0,41,215,0.160156,1,0.786458,1,0.213542,0.880466,0.471744,2.119792,0.000171
151,0,37,219,0.144531,1,0.803191,1,0.196809,0.890855,0.461916,2.164894,0.00021
151,0,36,220,0.140625,1,0.807487,1,0.192513,0.893491,0.459459,2.176471,0.000227
151,0,35,221,0.136719,1,0.811828,1,0.188172,0.896142,0.457002,2.188172,0.000228
151,0,34,222,0.132813,1,0.816216,1,0.183784,0.89881,0.454545,2.2,0.000248
151,0,33,223,0.128906,1,0.820652,1,0.179348,0.901493,0.452088,2.211957,0.000248
151,0,29,227,0.113281,1,0.838889,1,0.161111,0.912387,0.44226,2.261111,0.000273
151,0,28,228,0.109375,1,0.843575,1,0.156425,0.915152,0.439803,2.273743,0.00034
151,0,25,231,0.097656,1,0.857955,1,0.142045,0.923547,0.432432,2.3125,0.000341
151,0,18,238,0.070313,1,0.893491,1,0.106509,0.94375,0.415233,2.408284,0.000389
151,0,16,240,0.0625,1,0.904192,1,0.095808,0.949686,0.410319,2.437126,0.00039
151,0,11,245,0.042969,1,0.932099,1,0.067901,0.964856,0.398034,2.512346,0.000455
151,0,8,248,0.03125,1,0.949686,1,0.050314,0.974194,0.390663,2.559748,0.000544
151,0,7,249,0.027344,1,0.955696,1,0.044304,0.977346,0.388206,2.575949,0.000546
151,0,3,253,0.011719,1,0.980519,1,0.019481,0.990164,0.378378,2.642857,0.01823
151,0,2,254,0.007813,1,0.986928,1,0.013072,0.993421,0.375921,2.660131,0.325024
151,0,1,255,0.003906,1,0.993421,1,0.006579,0.9967,0.373464,2.677632,0.964195
146,5,1,255,0.003906,0.966887,0.993197,0.966887,0.006803,0.979866,0.361179,2.677028,0.964195
141,10,1,255,0.003906,0.933775,0.992958,0.933775,0.007042,0.962457,0.348894,2.676383,0.96543
136,15,1,255,0.003906,0.900662,0.992701,0.900662,0.007299,0.944444,0.336609,2.67569,0.966582
130,21,1,255,0.003906,0.860927,0.992366,0.860927,0.007634,0.921986,0.321867,2.674789,0.967659
128,23,1,255,0.003906,0.847682,0.992248,0.847682,0.007752,0.914286,0.316953,2.67447,0.96766
124,27,1,255,0.003906,0.821192,0.992,0.821192,0.008,0.898551,0.307125,2.673801,0.999454
120,31,1,255,0.003906,0.794702,0.991736,0.794702,0.008264,0.882353,0.297297,2.673089,0.999456
117,34,1,255,0.003906,0.774834,0.991525,0.774834,0.008475,0.869888,0.289926,2.672522,0.999545
115,36,1,255,0.003906,0.761589,0.991379,0.761589,0.008621,0.861423,0.285012,2.672128,0.99961
114,37,1,255,0.003906,0.754967,0.991304,0.754967,0.008696,0.857143,0.282555,2.671926,0.999611
113,38,1,255,0.003906,0.748344,0.991228,0.748344,0.008772,0.85283,0.280098,2.671721,0.99966
111,40,1,255,0.003906,0.735099,0.991071,0.735099,0.008929,0.844106,0.275184,2.671298,0.999697
110,41,1,255,0.003906,0.728477,0.990991,0.728477,0.009009,0.839695,0.272727,2.671082,0.999727
